iter	Passed	Remaining
0	59	59308
1	59	29756
2	59	19889
3	60	14959
4	60	11997
5	60	10023
6	60	8614
7	60	7555
8	61	6732
9	61	6077
10	61	5539
11	61	5090
12	62	4709
13	62	4385
14	62	4102
15	62	3855
16	62	3637
17	63	3443
18	63	3273
19	63	3118
20	63	2976
21	64	2848
22	64	2730
23	64	2622
24	64	2524
25	64	2433
26	65	2348
27	65	2271
28	65	2197
29	65	2130
30	66	2066
31	66	2006
32	66	1949
33	66	1896
34	66	1846
35	67	1799
36	67	1754
37	67	1711
38	67	1672
39	68	1634
40	68	1599
41	68	1565
42	68	1533
43	69	1501
44	69	1472
45	69	1444
46	69	1416
47	70	1390
48	70	1365
49	70	1340
50	70	1317
51	71	1294
52	71	1272
53	71	1251
54	71	1231
55	71	1212
56	72	1193
57	72	1175
58	72	1157
59	72	1140
60	73	1124
61	73	1108
62	73	1092
63	73	1077
64	73	1063
65	74	1049
66	74	1035
67	74	1019
68	74	1006
69	74	994
70	75	982
71	75	970
72	75	958
73	75	947
74	75	936
75	76	925
76	76	915
77	76	905
78	76	895
79	76	885
80	77	875
81	77	866
82	77	857
83	77	848
84	77	838
85	78	830
86	78	821
87	78	813
88	78	805
89	78	798
90	79	790
91	79	783
92	79	776
93	79	769
94	80	762
95	80	756
96	80	749
97	80	742
98	80	736
99	81	730
100	81	724
101	81	716
102	81	711
103	81	705
104	82	699
105	82	694
106	82	688
107	82	683
108	82	678
109	83	673
110	83	667
111	83	663
112	83	658
113	84	653
114	84	648
115	84	643
116	84	639
117	84	634
118	85	629
119	85	625
120	85	621
121	85	617
122	85	611
123	86	607
124	86	603
125	86	600
126	86	596
127	86	592
128	87	588
129	87	584
130	87	580
131	87	577
132	88	573
133	88	570
134	88	567
135	88	563
136	88	559
137	89	556
138	89	552
139	89	549
140	89	546
141	89	543
142	90	539
143	90	536
144	90	533
145	90	531
146	91	528
147	91	525
148	91	522
149	91	519
150	91	516
151	92	513
152	92	511
153	92	508
154	92	505
155	92	503
156	93	500
157	93	497
158	93	494
159	93	492
160	94	489
161	94	487
162	94	484
163	94	482
164	94	479
165	95	477
166	95	475
167	95	472
168	95	470
169	95	468
170	96	466
171	96	463
172	96	461
173	96	459
174	97	457
175	97	455
176	97	453
177	97	451
178	97	449
179	98	447
180	98	444
181	98	442
182	98	440
183	98	438
184	99	436
185	99	434
186	99	432
187	99	430
188	99	428
189	100	427
190	100	425
191	100	423
192	100	422
193	101	420
194	101	418
195	101	417
196	101	415
197	102	414
198	102	412
199	102	410
200	103	409
201	103	408
202	103	406
203	103	404
204	104	403
205	104	402
206	104	400
207	104	399
208	105	397
209	105	396
210	105	394
211	105	393
212	106	391
213	106	390
214	106	388
215	106	387
216	106	385
217	107	384
218	107	382
219	107	381
220	107	379
221	107	378
222	108	376
223	108	375
224	108	373
225	108	372
226	109	371
227	109	369
228	109	368
229	109	367
230	110	366
231	110	364
232	110	363
233	110	362
234	110	360
235	111	359
236	111	358
237	111	357
238	111	355
239	111	354
240	112	353
241	112	351
242	112	350
243	112	349
244	113	348
