iter	Passed	Remaining
0	3	3104
1	3	1703
2	3	1226
3	3	976
4	4	832
5	4	738
6	4	673
7	4	616
8	5	572
9	5	537
10	5	514
11	6	494
12	6	477
13	6	460
14	6	448
15	7	435
16	7	424
17	7	415
18	7	404
19	8	398
20	8	390
21	8	384
22	8	380
23	9	376
24	9	374
25	9	369
26	10	365
27	10	364
28	10	360
29	11	356
30	11	353
31	11	349
32	11	345
33	12	341
34	12	337
35	12	334
36	12	331
37	13	329
38	13	327
39	13	325
40	13	323
41	14	320
42	14	318
43	14	316
44	14	315
45	15	313
46	15	312
47	15	309
48	15	307
49	16	305
50	16	303
51	16	302
52	16	300
53	17	298
54	17	297
55	17	295
56	17	294
57	18	292
58	18	290
59	18	289
60	18	288
61	18	287
62	19	286
63	19	286
64	19	285
65	20	284
66	20	283
67	20	281
68	20	280
69	21	279
70	21	280
71	21	278
72	22	279
73	22	280
74	22	280
75	23	281
76	23	281
77	23	281
78	24	281
79	24	280
80	24	279
81	24	278
82	25	277
83	25	276
84	25	275
85	25	274
86	26	273
87	26	272
88	26	271
89	26	271
90	27	270
91	27	269
92	27	268
93	27	267
94	28	266
95	28	265
96	28	264
97	28	264
98	28	263
99	29	262
100	29	261
101	29	261
102	29	259
103	30	258
104	30	258
105	30	257
106	30	256
107	31	256
108	31	255
109	31	254
110	31	254
111	31	253
112	32	252
113	32	252
114	32	252
115	33	251
116	33	250
117	33	250
118	33	249
119	33	248
120	34	248
121	34	247
122	34	246
123	34	246
124	35	245
125	35	244
126	35	243
127	35	242
128	35	241
129	35	240
130	36	240
131	36	239
132	36	239
133	36	239
134	37	239
135	37	238
136	37	237
137	38	237
138	38	236
139	38	236
140	38	236
141	39	236
142	39	236
143	39	236
144	39	235
145	40	235
146	40	234
147	40	233
148	40	232
149	40	232
150	41	231
151	41	231
152	41	230
153	41	230
154	42	229
155	42	229
156	42	229
157	42	228
158	43	228
159	43	228
160	43	228
161	43	227
162	44	226
163	44	225
164	44	225
165	44	225
166	45	224
167	45	223
168	45	223
169	45	222
170	45	222
171	46	222
172	46	222
173	46	221
174	46	221
175	47	221
176	47	221
177	47	220
178	48	220
179	48	219
180	48	219
181	48	219
182	49	218
183	49	218
184	49	217
185	49	217
186	49	217
187	50	216
188	50	216
189	50	215
190	50	215
191	50	214
192	51	214
193	51	213
194	51	213
195	52	213
196	52	213
197	52	212
198	52	212
199	53	212
200	53	212
201	53	211
202	53	211
203	54	210
204	54	210
205	54	209
206	54	209
207	54	209
208	55	209
209	55	208
210	55	208
211	56	208
212	56	207
213	56	207
214	56	207
215	56	206
216	57	206
217	57	206
218	57	205
219	57	205
220	58	205
221	58	204
222	58	204
223	58	204
224	59	203
225	59	203
226	59	203
227	59	202
228	60	202
229	60	201
230	60	201
231	60	201
232	60	200
233	61	200
234	61	200
235	61	199
236	61	199
237	62	199
238	62	198
239	62	198
240	62	198
241	63	197
242	63	197
243	63	197
244	63	196
245	64	196
246	64	196
247	64	196
248	64	195
249	65	195
250	65	195
251	65	194
252	65	194
253	66	194
254	66	193
255	66	193
256	66	193
257	67	192
258	67	193
259	67	193
260	68	193
261	68	193
262	68	192
263	69	192
264	69	192
265	69	192
266	69	191
267	70	191
268	70	191
269	70	191
270	71	191
271	71	190
272	71	190
273	71	190
274	72	189
275	72	189
276	72	189
277	72	189
278	73	188
279	73	188
280	73	188
281	73	187
282	74	187
283	74	187
284	74	187
285	74	186
286	75	186
287	75	186
288	75	185
289	75	185
290	75	185
291	76	184
292	76	184
293	76	184
294	76	183
295	77	183
296	77	183
297	77	182
298	77	182
299	78	182
300	78	181
301	78	181
302	78	181
303	79	180
304	79	180
305	79	180
306	79	180
307	80	179
308	80	179
309	80	179
310	80	178
311	80	178
312	81	178
313	81	177
314	81	177
315	81	177
316	82	177
317	82	176
318	82	176
319	82	176
320	83	176
321	83	176
322	83	175
323	84	175
324	84	175
325	84	175
326	84	174
327	85	174
328	85	174
329	86	174
330	86	174
331	86	174
332	86	174
333	87	173
334	87	173
335	87	173
336	87	172
337	88	172
338	88	172
339	88	171
340	88	171
341	89	171
342	89	170
343	89	170
344	89	170
345	89	170
346	90	169
347	90	169
348	90	169
349	90	168
350	91	168
351	91	168
352	91	167
353	91	167
354	91	167
355	92	166
356	92	166
357	92	166
358	93	166
359	93	165
360	93	165
361	93	165
362	93	164
363	94	164
364	94	164
365	94	163
366	94	163
367	95	163
368	95	162
369	95	162
370	95	162
371	96	162
372	96	161
373	96	161
374	96	161
375	96	160
376	97	160
377	97	160
378	97	159
379	97	159
380	98	159
381	98	159
382	99	160
383	99	159
384	100	159
385	100	159
386	100	159
387	100	158
388	101	158
389	101	158
390	101	158
391	101	158
392	102	157
393	102	157
394	102	157
395	103	157
396	103	156
397	103	156
398	103	156
399	103	155
400	104	155
401	104	155
402	104	155
403	104	154
404	105	154
405	105	154
406	105	153
407	105	153
408	106	153
409	106	153
410	106	152
411	106	152
412	106	152
413	107	151
414	107	151
415	107	151
416	108	151
417	108	150
418	108	150
419	108	150
420	108	149
421	109	149
422	109	149
423	109	149
424	109	148
425	110	148
426	110	148
427	110	147
428	110	147
429	111	147
430	111	146
431	111	146
432	111	146
433	112	146
434	112	145
435	112	145
436	112	145
437	113	145
438	113	144
439	113	144
440	113	144
441	114	144
442	114	144
443	114	143
444	115	143
445	115	143
446	115	142
447	115	142
448	115	142
449	116	142
450	116	141
451	116	141
452	117	141
453	117	141
454	117	140
455	117	140
456	118	140
457	118	140
458	118	139
459	118	139
460	119	139
461	119	138
462	119	138
463	119	138
464	120	138
465	120	137
466	120	137
467	120	137
468	121	137
469	121	136
470	121	136
471	121	136
472	122	135
473	122	135
474	122	135
475	122	135
476	122	134
477	123	134
478	123	134
479	123	133
480	123	133
481	123	133
482	124	132
483	124	132
484	124	132
485	124	132
486	125	131
487	125	131
488	125	131
489	125	131
490	126	130
491	126	130
492	126	130
493	126	129
494	127	129
495	127	129
496	127	129
497	127	128
498	128	128
499	128	128
500	128	128
501	128	127
502	128	127
503	129	127
504	129	127
505	129	126
506	130	126
507	130	126
508	130	126
509	130	125
510	131	125
511	131	125
512	131	125
513	132	124
514	132	124
515	132	124
516	132	124
517	133	123
518	133	123
519	133	123
520	133	123
521	134	122
522	134	122
523	134	122
524	134	122
525	135	121
526	135	121
527	135	121
528	135	120
529	136	120
530	136	120
531	136	120
532	136	119
533	137	119
534	137	119
535	137	119
536	137	118
537	138	118
538	138	118
539	138	118
540	138	117
541	139	117
542	139	117
543	139	117
544	140	117
545	140	116
546	140	116
547	140	116
548	141	115
549	141	115
550	141	115
551	141	115
552	142	114
553	142	114
554	142	114
555	142	114
556	143	113
557	143	113
558	143	113
559	143	112
560	144	112
561	144	112
562	144	112
563	144	111
564	145	111
565	145	111
566	145	111
567	145	111
568	146	110
569	146	110
570	146	110
571	147	110
572	147	109
573	147	109
574	147	109
575	148	109
576	148	108
577	148	108
578	148	108
579	149	108
580	149	107
581	149	107
582	150	107
583	150	107
584	150	106
585	150	106
586	150	106
587	151	105
588	151	105
589	151	105
590	152	105
591	152	105
592	152	104
593	152	104
594	153	104
595	153	103
596	153	103
597	153	103
598	154	103
599	154	102
600	154	102
601	154	102
602	154	102
603	155	101
604	155	101
605	155	101
606	155	100
607	156	100
608	156	100
609	156	100
610	156	99
611	157	99
612	157	99
613	157	99
614	157	98
615	158	98
616	158	98
617	158	98
618	158	97
619	159	97
620	159	97
621	159	96
622	159	96
623	160	96
624	160	96
625	160	96
626	161	95
627	161	95
628	161	95
629	161	95
630	162	94
631	162	94
632	162	94
633	162	94
634	163	93
635	163	93
636	163	93
637	164	93
638	164	92
639	164	92
640	164	92
641	165	92
642	165	91
643	165	91
644	165	91
645	166	90
646	166	90
647	166	90
648	166	90
649	166	89
650	167	89
651	167	89
652	167	89
653	167	88
654	168	88
655	168	88
656	168	87
657	168	87
658	168	87
659	169	87
660	169	86
661	169	86
662	169	86
663	170	86
664	170	85
665	170	85
666	170	85
667	170	84
668	171	84
669	171	84
670	171	84
671	171	83
672	172	83
673	172	83
674	172	83
675	172	82
676	173	82
677	173	82
678	173	82
679	173	81
680	174	81
681	174	81
682	174	81
683	174	80
684	175	80
685	175	80
686	175	80
687	176	79
688	176	79
689	176	79
690	176	79
691	177	78
692	177	78
693	178	78
694	178	78
695	178	78
696	179	77
697	179	77
698	179	77
699	179	77
700	179	76
701	180	76
702	180	76
703	180	75
704	180	75
705	181	75
706	181	75
707	181	74
708	181	74
709	182	74
710	182	74
711	182	73
712	182	73
713	182	73
714	183	73
715	183	72
716	183	72
717	183	72
718	184	71
719	184	71
720	184	71
721	184	71
722	184	70
723	185	70
724	185	70
725	185	70
726	185	69
727	186	69
728	186	69
729	186	68
730	186	68
731	187	68
732	187	68
733	187	67
734	187	67
735	188	67
736	188	67
737	188	66
738	188	66
739	188	66
740	189	66
741	189	65
742	189	65
743	189	65
744	190	65
745	190	64
746	190	64
747	191	64
748	191	64
749	191	63
750	192	63
751	192	63
752	192	63
753	192	62
754	193	62
755	193	62
756	193	62
757	194	61
758	194	61
759	194	61
760	194	61
761	195	60
762	195	60
763	195	60
764	195	60
765	196	59
766	196	59
767	196	59
768	196	59
769	197	58
770	197	58
771	197	58
772	197	58
773	197	57
774	198	57
775	198	57
776	198	57
777	198	56
778	199	56
779	199	56
780	199	55
781	199	55
782	200	55
783	200	55
784	200	54
785	200	54
786	200	54
787	201	54
788	201	53
789	201	53
790	201	53
791	202	53
792	202	52
793	202	52
794	202	52
795	203	52
796	203	51
797	203	51
798	203	51
799	204	51
800	204	50
801	204	50
802	204	50
803	205	49
804	205	49
805	205	49
806	205	49
807	206	48
808	206	48
809	206	48
810	206	48
811	207	47
812	207	47
813	207	47
814	207	47
815	208	46
816	208	46
817	208	46
818	209	46
819	209	45
820	209	45
821	209	45
822	210	45
823	210	44
824	210	44
825	210	44
826	211	44
827	211	43
828	211	43
829	211	43
830	212	43
831	212	42
832	212	42
833	212	42
834	213	42
835	213	41
836	213	41
837	213	41
838	214	41
839	214	40
840	214	40
841	214	40
842	214	40
843	215	39
844	215	39
845	215	39
846	215	39
847	216	38
848	216	38
849	216	38
850	216	37
851	217	37
852	217	37
853	217	37
854	218	36
855	218	36
856	218	36
857	218	36
858	219	35
